"name","sku","category","subcategory","childcategory","product_group","unit","brand","alert_quantity","vat_percent","minimum_sale_price","minimum_wholesale_price","barcode","purchase_price","selling_price","discount_type","discount_value","wholesale_price","minimum_wholesale_quantity","size","color","opening_stock_qty","opening_stock_purchase_price_rate","author"
"Modest Cord's Set - 39","","Modest Cord's Set","","","","Pcs","","0","0","0","0","79578714","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","red","9","2350",""
"Modest Cord's Set - 39","","Modest Cord's Set","","","","Pcs","","0","0","0","0","79578716","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Beige colour","34","2350",""
"Modest Cord's Set - 39","","Modest Cord's Set","","","","Pcs","","0","0","0","0","79578717","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","blue","8","2350",""
"Modest Cord's Set - 39","","Modest Cord's Set","","","","Pcs","","0","0","0","0","79578719","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Coffee","37","2350",""
"Modest Cord's Set - 39","","Modest Cord's Set","","","","Pcs","","0","0","0","0","79578720","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Brick Color","1","2350",""
"Modest Cord's Set - 40","","Modest Cord's Set","","","","Pcs","","0","0","0","0","80257820","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","mocha chocolate","0","2350",""
"Modest Cord's Set - 40","","Modest Cord's Set","","","","Pcs","","0","0","0","0","80257822","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Nude pink","0","2350",""
"Modest Cord's Set - 40","","Modest Cord's Set","","","","Pcs","","0","0","0","0","80257824","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Red Maroon","0","2350",""
"Modest Cord's Set - 40","","Modest Cord's Set","","","","Pcs","","0","0","0","0","80257826","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Black","2","2350",""
"Modest Cord's Set - 40","","Modest Cord's Set","","","","Pcs","","0","0","0","0","80257829","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Ash","17","2350",""
"Modest Cord's Set - 40","","Modest Cord's Set","","","","Pcs","","0","0","0","0","80281723","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Mastard yellow","0","2350",""
"Modest Cord's Set - 41","","Modest Cord's Set","","","","Pcs","","0","0","0","0","31893736","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","blue","1","2350",""
"Modest Cord's Set - 41","","Modest Cord's Set","","","","Pcs","","0","0","0","0","31893738","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Dark chocolate","16","2350",""
"Modest Cord's Set - 41","","Modest Cord's Set","","","","Pcs","","0","0","0","0","31893740","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Black","0","2350",""
"Modest Cord's Set - 41","","Modest Cord's Set","","","","Pcs","","0","0","0","0","31893741","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","Beige colour","22","2350",""
"Modest Cord's Set - 41","","Modest Cord's Set","","","","Pcs","","0","0","0","0","31893743","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","mocha brown","0","2350",""
"Modest Cord's Set - 41","","Modest Cord's Set","","","","Pcs","","0","0","0","0","31893745","2350","2850","Amount","0","0","0","Body free size from 34” to 46 “ (One size )","marron","0","2350",""
"shirt & midi shirt - 39","","shirt & midi shirt","","","","Pcs","","0","0","0","0","86768346","1250","1550","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Levender","0","1250",""
"shirt & midi shirt - 39","","shirt & midi shirt","","","","Pcs","","0","0","0","0","86768348","1250","1550","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Olive","4","1250",""
"shirt & midi shirt - 39","","shirt & midi shirt","","","","Pcs","","0","0","0","0","86768350","1250","1550","Amount","0","0","0","Body free size from 34” to 48“ (One size )","White","0","1250",""
"shirt & midi shirt - 39","","shirt & midi shirt","","","","Pcs","","0","0","0","0","86768352","1250","1550","Amount","0","0","0","Body free size from 34” to 48“ (One size )","blue","0","1250",""
"shirt & midi shirt - 39","","shirt & midi shirt","","","","Pcs","","0","0","0","0","86768354","1250","1550","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Brown","0","1250",""
"shirt & midi shirt - 40","","shirt & midi shirt","","","","Pcs","","0","0","0","0","87324274","850","1050","Amount","0","0","0","Body free size from 34” to 50“ (One size )","Brown","0","850",""
"shirt & midi shirt - 40","","shirt & midi shirt","","","","Pcs","","0","0","0","0","87324276","850","1050","Amount","0","0","0","Body free size from 34” to 50“ (One size )","Black","0","850",""
"shirt & midi shirt - 40","","shirt & midi shirt","","","","Pcs","","0","0","0","0","87324278","850","1050","Amount","0","0","0","Body free size from 34” to 50“ (One size )","Gray ash","0","850",""
"Cotton set two piece -20","","Cotton set two piece","","","","Pcs","","0","0","0","0","88299239","1650","1950","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Black","0","1650",""
"Cotton set two piece -20","","Cotton set two piece","","","","Pcs","","0","0","0","0","88299241","1650","1950","Amount","0","0","0","Body free size from 34” to 48“ (One size )","blue","0","1650",""
"Cotton set two piece -21","","Cotton set two piece","","","","Pcs","","0","0","0","0","88599709","1650","1950","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Masterad yellow","0","1650",""
"Cotton set two piece -21","","Cotton set two piece","","","","Pcs","","0","0","0","0","88635769","1650","1950","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Sky blue","0","1650",""
"Cotton set two piece -21","","Cotton set two piece","","","","Pcs","","0","0","0","0","88702059","1650","1950","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Green","0","1650",""
"Cotton set two piece -21","","Cotton set two piece","","","","Pcs","","0","0","0","0","88823442","1650","1950","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Black","0","1650",""
"Cotton set two piece -22","","Cotton set two piece","","","","Pcs","","0","0","0","0","89752016","1650","1950","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Green","0","1650",""
"Cotton set two piece -22","","Cotton set two piece","","","","Pcs","","0","0","0","0","89752018","1650","1950","Amount","0","0","0","Body free size from 34” to 48“ (One size )","blue","1","1650",""
"Cotton set two piece -22","","Cotton set two piece","","","","Pcs","","0","0","0","0","89785188","1650","1950","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Brown","0","1650",""
"Miyako one piecs - 13","","miyako one piecs","","","","Pcs","","0","0","0","0","20001082","3150","3650","Amount","0","0","0","Body free size from 34” to 50+“ (One size )","Green","0","3150",""
"Miyako one piecs - 13","","miyako one piecs","","","","Pcs","","0","0","0","0","20001083","3150","3650","Amount","0","0","0","Body free size from 34” to 50+“ (One size )","Black","0","3150",""
"Miyako one piecs - 13","","miyako one piecs","","","","Pcs","","0","0","0","0","20001085","3150","3650","Amount","0","0","0","Body free size from 34” to 50+“ (One size )","Pink","0","3150",""
"Miyako one piecs - 14","","miyako one piecs","","","","Pcs","","0","0","0","0","20704296","3150","3650","Amount","0","0","0","Body free size from 34” to 50“ (One size )","Green","20","3150",""
"Miyako one piecs - 14","","miyako one piecs","","","","Pcs","","0","0","0","0","20704298","3150","3650","Amount","0","0","0","Body free size from 34” to 50“ (One size )","Yellow","0","3150",""
"Miyako one piecs - 14","","miyako one piecs","","","","Pcs","","0","0","0","0","20704299","3150","3650","Amount","0","0","0","Body free size from 34” to 50“ (One size )","Purple","0","3150",""
